company_code,dt,attn_volume,greed_count,mean_greed_score,greed_ratio
000660,2017-08-16,165,39,1.915151515151515,0.23636363636363636
000660,2017-08-17,165,45,2.006060606060606,0.2727272727272727
000660,2017-08-18,312,83,1.9775641025641026,0.266025641025641
000660,2017-08-19,39,13,2.3076923076923075,0.3333333333333333
005380,2017-08-13,16,2,1.5625,0.125
005380,2017-08-14,45,4,1.4666666666666666,0.08888888888888889
005380,2017-08-15,33,3,1.7272727272727273,0.09090909090909091
005380,2017-08-16,34,7,1.7941176470588236,0.20588235294117646
005380,2017-08-17,120,13,1.5833333333333333,0.10833333333333334
005380,2017-08-18,39,7,1.794871794871795,0.1794871794871795
005380,2017-08-19,30,1,1.2333333333333334,0.03333333333333333
005930,2017-08-13,72,9,1.8611111111111112,0.125
005930,2017-08-14,165,31,1.793939393939394,0.18787878787878787
005930,2017-08-15,88,11,1.8977272727272727,0.125
005930,2017-08-16,129,37,2.0310077519379846,0.2868217054263566
005930,2017-08-17,165,36,1.9393939393939394,0.21818181818181817
005930,2017-08-18,153,30,1.9542483660130718,0.19607843137254902
005930,2017-08-19,72,11,1.8472222222222223,0.1527777777777778
033100,2017-08-13,12,3,2.3333333333333335,0.25
033100,2017-08-14,45,14,2.2888888888888888,0.3111111111111111
033100,2017-08-15,33,9,2.3333333333333335,0.2727272727272727
033100,2017-08-16,22,2,1.9545454545454546,0.09090909090909091
033100,2017-08-17,16,3,2.1875,0.1875
033100,2017-08-18,6,1,2.1666666666666665,0.16666666666666666
033100,2017-08-19,4,1,2.0,0.25
080220,2017-08-13,1,0,2.0,0.0
080220,2017-08-14,4,1,2.5,0.25
080220,2017-08-15,1,0,2.0,0.0
